basis,E_eV,lambda_nm,sigma_200K,sigma_220K,sigma_250K,sigma_298K
cc-pvtz-dk,1.0,1239.841984,1.3594994699657482e-30,1.352123475027737e-30,1.3381160213964179e-30,1.3095836795478342e-30
cc-pvtz-dk,1.0020010005002502,1237.3660139870192,1.9408762062179466e-30,1.9303459387271247e-30,1.9103483336795746e-30,1.869614413126455e-30
cc-pvtz-dk,1.0040020010005002,1234.89991331141,2.1823421721394334e-30,2.1829505359461765e-30,2.183739929991888e-30,2.183923546486216e-30
cc-pvtz-dk,1.0060030015007504,1232.443623081054,2.150745916468102e-30,2.234713635525365e-30,2.3913621321046163e-30,2.6995033495933034e-30
cc-pvtz-dk,1.0080040020010006,1229.9970848714638,1.7058282623298116e-30,1.8583177180328534e-30,2.1431498588900963e-30,2.7048296681784753e-30
cc-pvtz-dk,1.0100050025012506,1227.560240721149,9.273941718075731e-31,1.1201071477870297e-30,1.4802679396335357e-30,2.191268698423648e-30
cc-pvtz-dk,1.0120060030015008,1225.133033127039,3.860788493212837e-31,5.8307304146960495e-31,9.544756565149548e-31,1.7004867308269976e-30
cc-pvtz-dk,1.0140070035017508,1222.7154050399606,3.258710815276494e-31,5.0518986052410015e-31,8.669736364026877e-31,1.6866065529289515e-30
cc-pvtz-dk,1.016008004002001,1220.3072998601674,2.019932110060519e-31,3.288544665126915e-31,6.112728499492737e-31,1.3480823931005738e-30
cc-pvtz-dk,1.0180090045022512,1217.9086614329237,3.9760353958421447e-32,9.017318432961301e-32,2.3996209728395874e-31,7.554656654055529e-31
cc-pvtz-dk,1.0200100050025012,1215.5194340441392,3.957089137532803e-32,8.97434989086353e-32,2.3881865075318904e-31,7.5186578607460435e-31
cc-pvtz-dk,1.0220110055027514,1213.1395624160548,3.174311123289301e-32,7.199074292427934e-32,1.9157635150150989e-31,6.031342345361778e-31
cc-pvtz-dk,1.0240120060030016,1210.7689917029797,1.7659009361447738e-32,4.004916827182613e-32,1.0657583498279038e-31,3.3552958989248032e-31
cc-pvtz-dk,1.0260130065032516,1208.4076674870794,3.432902528389945e-31,3.414277238545053e-31,3.3789067039846595e-31,3.3068590492140713e-31
cc-pvtz-dk,1.0280140070035018,1206.0555357742091,1.3039592216703338e-30,1.2968845615980828e-30,1.2834493608214775e-30,1.2560826636720857e-30
cc-pvtz-dk,1.030015007503752,1203.7125429898008,2.0289416890349703e-30,2.0179336202872727e-30,1.9970286421996207e-30,1.954446457254858e-30
cc-pvtz-dk,1.032016008004002,1201.378635974794,2.3748850483448376e-30,2.3620000561238467e-30,2.3375306885887188e-30,2.287688056393965e-30
cc-pvtz-dk,1.0340170085042522,1199.0537619816157,2.436569896326032e-30,2.5087717868892926e-30,2.643376542964633e-30,2.9077847540188554e-30
cc-pvtz-dk,1.0360180090045024,1196.7378686702075,2.0501171538924013e-30,2.2044686797425082e-30,2.4927273602733253e-30,3.0609600514057955e-30
cc-pvtz-dk,1.0380190095047523,1194.4309041040963,1.2645493686510333e-30,1.4726215937426574e-30,1.8614452651866988e-30,2.6288639497021082e-30
cc-pvtz-dk,1.0400200100050025,1192.1328167465126,4.377085924780441e-31,6.5909741656373435e-31,1.0729505317170056e-30,1.8903423329972753e-30
cc-pvtz-dk,1.0420210105052525,1189.843555456553,3.879608942822525e-31,5.971825239217763e-31,1.0121125141146082e-30,1.9258284878723362e-30
cc-pvtz-dk,1.0440220110055027,1187.5630694853855,2.6498785989004822e-31,4.24464654938758e-31,7.6923408857489755e-31,1.6346534231319593e-30
cc-pvtz-dk,1.046023011505753,1185.291308472501,8.907612928331152e-32,1.6733656482185353e-31,3.745062223971513e-31,1.0243930986493479e-30
cc-pvtz-dk,1.048024012006003,1183.0282224420048,4.5517280535915075e-32,1.032294162230021e-31,2.7470635979454277e-31,8.648500127407196e-31
cc-pvtz-dk,1.0500250125062531,1180.7737617989517,3.871252410709776e-32,8.779679315290746e-32,2.3363822378466073e-31,7.3555639908740465e-31
cc-pvtz-dk,1.0520260130065033,1178.527877325725,2.4319743527203703e-32,5.515516079712782e-32,1.4677476634887264e-31,4.620867119413533e-31
cc-pvtz-dk,1.0540270135067533,1176.2905201784527,1.1215758713277903e-31,1.1789970092720113e-31,1.3558436018009524e-31,1.979976837384068e-31
cc-pvtz-dk,1.0560280140070035,1174.0616418834675,1.2063845224219472e-30,1.199839256074103e-30,1.187409405505796e-30,1.1620905463557805e-30
cc-pvtz-dk,1.0580290145072537,1171.841194333806,2.0909841152435184e-30,2.0796394339176136e-30,2.058095208498507e-30,2.0142109151286905e-30
cc-pvtz-dk,1.0600300150075037,1169.6291297857479,2.587070766327588e-30,2.5730345557234097e-30,2.5463789559230004e-30,2.492083099895049e-30
cc-pvtz-dk,1.062031015507754,1167.4254008553933,2.7312079577274803e-30,2.7869731955101545e-30,2.8907999290149994e-30,3.09421287118318e-30
cc-pvtz-dk,1.064032016008004,1165.2299605152798,2.425562055754571e-30,2.5784593002119885e-30,2.8639390854337103e-30,3.4264446631102224e-30
cc-pvtz-dk,1.066033016508254,1163.042762091037,1.6495100203768412e-30,1.8716491324582883e-30,2.2867117752874823e-30,3.1057292209507124e-30
cc-pvtz-dk,1.0680340170085043,1160.8637592580794,5.457375367990122e-31,7.954078833251709e-31,1.2621207407174267e-30,2.1838817427870292e-30
cc-pvtz-dk,1.0700350175087543,1158.6929060383357,4.55827753672295e-31,6.971192514762305e-31,1.1678623986470715e-30,2.1754562436186288e-30
cc-pvtz-dk,1.0720360180090045,1156.5301567970134,3.3706480786075083e-31,5.332715208403866e-31,9.472044614685868e-31,1.951213874553202e-30
cc-pvtz-dk,1.0740370185092547,1154.3754662394037,1.5148117920746545e-31,2.6410501473760503e-31,5.406439006744748e-31,1.3478337754111467e-30
cc-pvtz-dk,1.0760380190095047,1152.2287894077174,5.185501160858862e-32,1.1760286452895366e-31,3.1295589957003916e-31,9.852699221556522e-31
cc-pvtz-dk,1.078039019509755,1150.090081677958,4.6536606274888685e-32,1.05541162437548e-31,2.808582049817213e-31,8.842176873460308e-31
cc-pvtz-dk,1.080040020010005,1147.9592987568317,3.2141501750879155e-32,7.289425956930473e-32,1.9398072205449763e-31,6.107038441547541e-31
cc-pvtz-dk,1.082041020510255,1145.836396678687,1.1290122678933986e-32,2.5605061627370815e-32,6.813826455024209e-32,2.14517709049334e-31
cc-pvtz-dk,1.0840420210105053,1143.7213318024917,1.0589933335153303e-30,1.0532477413764871e-30,1.0423365197520565e-30,1.020111016561539e-30
cc-pvtz-dk,1.0860430215107553,1141.614060808844,2.11955975402317e-30,2.1080600349266403e-30,2.086221383548543e-30,2.041737362181611e-30
cc-pvtz-dk,1.0880440220110055,1139.5145406970114,2.788900757150915e-30,2.7737695133940648e-30,2.7450343804269833e-30,2.6865026402220326e-30
