basis,r_ox_A,r_oh_A,theta_deg,nbf,e_hf_Ha,e_ccsd_Ha,e_ccsdt_Ha,t1,status,wall_s
cc-pvtz-dk,1.834,0.961,99.3,87,-2679.91409427456,-2680.456334193019,-2680.4769280352143,0.006246437515804498,ok,33.65
cc-pvtz-dk,1.834,0.991,99.3,87,-2679.9122147357234,-2680.4555153628307,-2680.476285452866,0.006326740887016527,ok,33.93
cc-pvtz-dk,1.834,0.961,102.3,87,-2679.9147508166425,-2680.456597549699,-2680.477126003888,0.006253745476761122,ok,34.0
cc-pvtz-dk,1.834,0.961,105.3,87,-2679.9148734072874,-2680.456378104124,-2680.476849927837,0.006270921071684884,ok,34.43
cc-pvtz-dk,1.834,0.931,105.3,87,-2679.91501628665,-2680.4554996324573,-2680.4758021519747,0.006189197691065766,ok,34.8
cc-pvtz-dk,1.864,0.991,102.3,87,-2679.911290899958,-2680.455152386613,-2680.476158225359,0.006464796708172015,ok,46.04
cc-pvtz-dk,1.834,0.931,99.3,87,-2679.9142181171665,-2680.455421907765,-2680.475844288147,0.0061729329210952625,ok,46.07
cc-pvtz-dk,1.864,0.991,99.3,87,-2679.9108081990357,-2680.455057510456,-2680.4761280194393,0.006448711137971792,ok,46.34
cc-pvtz-dk,1.834,0.931,102.3,87,-2679.914885115209,-2680.4557031333147,-2680.476061401954,0.006176484443348147,ok,47.55
cc-pvtz-dk,1.864,0.991,105.3,87,-2679.9112585403504,-2680.4547830221572,-2680.4757336540806,0.006492529780377668,ok,47.58
cc-pvtz-dk,1.804,0.991,105.3,87,-2679.913952684419,-2680.455571460306,-2680.4759261163535,0.0062362494858293925,ok,47.7
cc-pvtz-dk,1.804,0.931,99.3,87,-2679.9148905061206,-2680.4551998123384,-2680.4753380557204,0.006057106269366461,ok,59.01
cc-pvtz-dk,1.864,0.931,99.3,87,-2679.9127787609673,-2680.4549140370355,-2680.475632461665,0.006295304250443958,ok,59.2
cc-pvtz-dk,1.834,0.991,102.3,87,-2679.9128607496564,-2680.4557615010517,-2680.4764650719576,0.006338639101178448,ok,59.3
cc-pvtz-dk,1.864,0.961,102.3,87,-2679.9131641553645,-2680.4559627561416,-2680.476791241202,0.006379937363285499,ok,59.42
cc-pvtz-dk,1.804,0.991,99.3,87,-2679.9128565601122,-2680.455244246616,-2680.4757256997154,0.006211075465351154,ok,59.47
cc-pvtz-dk,1.864,0.961,105.3,87,-2679.9131383594126,-2680.4556065736615,-2680.476380544806,0.006402033398975721,ok,59.67
cc-pvtz-dk,1.864,0.961,99.3,87,-2679.912672643471,-2680.4558524650406,-2680.476744508602,0.006368651816813548,ok,60.02
cc-pvtz-dk,1.804,0.991,102.3,87,-2679.913679024481,-2680.45565645773,-2680.476070041213,0.006218742529960651,ok,60.03
cc-pvtz-dk,1.804,0.931,105.3,87,-2679.9160316178327,-2680.4556002905074,-2680.475615776333,0.0060650711334772674,ok,60.09
cc-pvtz-dk,1.804,0.961,105.3,87,-2679.915868534372,-2680.456449374988,-2680.476631906225,0.006146342996541465,ok,60.53
cc-pvtz-dk,1.804,0.961,99.3,87,-2679.9147499814853,-2680.4560863535858,-2680.476393833784,0.006130649164966544,ok,60.81
cc-pvtz-dk,1.864,0.931,102.3,87,-2679.9132790871945,-2680.4550404184497,-2680.4756965281117,0.006302636838603193,ok,60.85
cc-pvtz-dk,1.804,0.961,102.3,87,-2679.915584830622,-2680.456517666739,-2680.4767584119936,0.006133968413334973,ok,60.92
cc-pvtz-dk,1.864,0.931,105.3,87,-2679.913260263489,-2680.4546984722683,-2680.475300919725,0.006320050130891762,ok,60.93
cc-pvtz-dk,1.804,0.931,102.3,87,-2679.9157375928526,-2680.4556508564187,-2680.4757236592436,0.0060569028897669,ok,61.97
cc-pvtz-dk,1.834,0.991,105.3,87,-2679.9129751008004,-2680.455527146961,-2680.476173377182,0.00636121572408174,ok,61.97
