r_obr_A,r_oh_A,theta_deg,nbf,t1_s,e_hf_Ha,e_ccsd_Ha,e_ccsdt_Ha,omega_app_eV,root0_sym,gap_any_eV,gap_app_eV,w1,status,wall_s
1.9,1.0,135.0,87,0.008076198109350478,-2679.8836675049783,-2680.427408199626,-2680.4486636416127,2.0372689641406465,"A""",0.5456386621933557,2.6816435158038154,0.9445,ok,239.5
1.85,1.25,135.0,87,0.010382747681268255,-2679.8366781688446,-2680.3879098642324,-2680.4104832195826,2.0088195259626667,"A""",0.6331416874344626,2.7686717804090804,0.9415,ok,280.53
1.85,1.0,135.0,87,0.007516063524621657,-2679.888756280489,-2680.4306200785504,-2680.4512619958405,2.30052411175943,"A""",0.558113852127728,2.962466682027974,0.9473,ok,375.71
1.8,1.0,135.0,87,0.007022019494142422,-2679.892224764614,-2680.4323878338223,-2680.452481264271,2.5784411711714608,"A""",0.5672545721883812,3.267913036664075,0.9497,ok,383.31
1.75,1.0,135.0,87,0.006598117763032439,-2679.8935344385563,-2680.4321715492497,-2680.451771640881,2.866153422106992,"A""",0.5742913394467922,3.5817867117742597,0.9518,ok,392.98
1.95,1.0,135.0,87,0.008693195267141454,-2679.877387761252,-2680.423182988476,-2680.445127939207,1.7918268547565779,"A""",0.5283241911664802,2.4278264162373095,0.9412,ok,413.77
2.05,1.0,135.0,87,0.010034147343132382,-2679.862551585601,-2680.412992110409,-2680.4365893731624,1.3608282428300087,"A""",0.4719669063008595,1.9948708425002422,0.9333,ok,414.65
1.95,1.25,135.0,87,0.011650112805099998,-2679.8260533981693,-2680.3814826148437,-2680.4054357124915,1.5991573998081179,"A""",0.6099643956254148,2.392781576941509,0.9367,ok,419.57
2.25,1.0,135.0,87,0.012539190021332606,-2679.8295735823294,-2680.391346213214,-2680.4195815105645,0.7408004058539862,"A""",0.22164318497335012,1.3554683438104915,0.911,ok,424.54
2.2,1.0,135.0,87,0.01198673401940437,-2679.8378763902087,-2680.3965828285695,-2680.4234805831234,0.8673041085186178,"A""",0.3042996301057256,1.4929636952671514,0.9174,ok,427.85
