basis,r_ox_A,r_oh_A,theta_deg,nbf,e_hf_Ha,e_ccsd_Ha,e_ccsdt_Ha,t1,status,wall_s
cc-pvtz-dk,1.6891,0.9644,102.96,78,-536.3805339252481,-536.8820018119594,-536.900791128491,0.007165506092834735,ok,9.97
cc-pvtz-dk,1.6891,0.9644,99.96,78,-536.3799727813536,-536.8817693758584,-536.9006174566467,0.007171362352913638,ok,10.03
cc-pvtz-dk,1.6891,0.9344,105.96,78,-536.3808402515207,-536.8810288675719,-536.8996049649469,0.007059985101754409,ok,10.06
cc-pvtz-dk,1.6891,0.9644,105.96,78,-536.3804979662798,-536.8816909891896,-536.9004307207362,0.007170248579763935,ok,10.08
cc-pvtz-dk,1.6891,0.9944,99.96,78,-536.3779315841027,-536.880770719081,-536.8997884067945,0.007282284868852204,ok,10.08
cc-pvtz-dk,1.7191,0.9944,99.96,78,-536.3766851856632,-536.8806571744474,-536.9000008542677,0.00745653752852936,ok,12.24
cc-pvtz-dk,1.7191,0.9944,102.96,78,-536.3770485170716,-536.8806988308747,-536.8999844101127,0.007457579065527062,ok,12.32
cc-pvtz-dk,1.6591,0.9944,105.96,78,-536.3791703800442,-536.8802705736895,-536.8988654262458,0.007132027487200559,ok,12.86
cc-pvtz-dk,1.6891,0.9344,99.96,78,-536.3803014159326,-536.8810814896169,-536.8997648463945,0.007070849541167319,ok,12.98
cc-pvtz-dk,1.6891,0.9344,102.96,78,-536.3808706590166,-536.8813279218019,-536.8999532360924,0.007060514737948182,ok,13.47
cc-pvtz-dk,1.7191,0.9944,105.96,78,-536.3768371743619,-536.8802187062213,-536.899455987101,0.007471026267623716,ok,13.48
cc-pvtz-dk,1.6891,0.9944,105.96,78,-536.3784440210572,-536.8806690903032,-536.8995777935609,0.007293278515015354,ok,16.01
cc-pvtz-dk,1.6591,0.9344,105.96,78,-536.3816053928085,-536.8806849044361,-536.8989514760344,0.006901174343821564,ok,16.85
cc-pvtz-dk,1.6591,0.9344,102.96,78,-536.3814453753693,-536.8808036307005,-536.8991204048979,0.006903753911005716,ok,17.5
cc-pvtz-dk,1.7191,0.9344,99.96,78,-536.3790210590931,-536.8809188151356,-536.8999236360085,0.007243669563487035,ok,17.58
cc-pvtz-dk,1.6591,0.9644,99.96,78,-536.3803206438745,-536.8810206792278,-536.8995587178304,0.007015165152489182,ok,17.65
cc-pvtz-dk,1.7191,0.9344,102.96,78,-536.379395696578,-536.8809831107789,-536.8999311501551,0.007234182667536917,ok,17.68
cc-pvtz-dk,1.7191,0.9644,99.96,78,-536.378711065646,-536.8816327776295,-536.9008045657127,0.007344982538090732,ok,17.82
cc-pvtz-dk,1.6591,0.9644,105.96,78,-536.381241977416,-536.8813180650475,-536.8997461009417,0.007010144468293287,ok,17.82
cc-pvtz-dk,1.6591,0.9644,102.96,78,-536.3810899560594,-536.8814507828002,-536.8999293418487,0.007007756122755479,ok,17.85
cc-pvtz-dk,1.7191,0.9344,105.96,78,-536.3791902988693,-536.8805210171047,-536.8994213669341,0.007235398709345276,ok,17.85
cc-pvtz-dk,1.6591,0.9944,102.96,78,-536.3790257645254,-536.8804158808168,-536.8990613373271,0.007123465350752706,ok,17.88
cc-pvtz-dk,1.7191,0.9644,105.96,78,-536.3788711837973,-536.8812134724619,-536.9002796350816,0.007346951988214926,ok,17.88
cc-pvtz-dk,1.6891,0.9944,102.96,78,-536.3784849046291,-536.8809902278443,-536.8999486386047,0.007282004958999253,ok,17.89
cc-pvtz-dk,1.6591,0.9344,99.96,78,-536.3806654713999,-536.8803572638707,-536.8987328488255,0.00691538294323659,ok,17.89
cc-pvtz-dk,1.6591,0.9944,99.96,78,-536.3782668018729,-536.880000939175,-536.8987063175737,0.007125558196692194,ok,17.89
cc-pvtz-dk,1.7191,0.9644,102.96,78,-536.37907988994,-536.8816852270644,-536.9007994775037,0.007340203512872628,ok,17.89
