==============================================================================
== HOX Phase 2 -- 3D CCSD(T) + EOM-CCSD raster for HOBr
==============================================================================
  r(O-Br) 1.55-2.45 A, 19 points
  r(O-H)  0.8-1.25 A, 10 points
  angle   75.0-135.0 deg, 13 points
  total   2470 geometries, cc-pvtz-dk, 5 EOM roots
  estimate 329 CPU-hours = 11.0 h on 30 workers at 480 s/point
  40 already in /home/johan/projects/strix-halo-photodissociation-dynamics/HOX/HOBr/data/hobr_pes_raster.csv, 2430 to run

  10/2430  ok=10 warn=0 bad=0  78 pts/h  eta 1865.4 min
  20/2430  ok=20 warn=0 bad=0  146 pts/h  eta 990.2 min
  30/2430  ok=30 warn=0 bad=0  204 pts/h  eta 705.2 min
  40/2430  ok=40 warn=0 bad=0  166 pts/h  eta 865.2 min
  50/2430  ok=50 warn=0 bad=0  198 pts/h  eta 722.0 min
  60/2430  ok=60 warn=0 bad=0  229 pts/h  eta 619.8 min
  70/2430  ok=70 warn=0 bad=0  202 pts/h  eta 702.0 min
  80/2430  ok=80 warn=0 bad=0  216 pts/h  eta 652.6 min
  90/2430  ok=90 warn=0 bad=0  235 pts/h  eta 597.4 min
  100/2430  ok=100 warn=0 bad=0  218 pts/h  eta 640.6 min
  110/2430  ok=110 warn=0 bad=0  229 pts/h  eta 608.9 min
  120/2430  ok=120 warn=0 bad=0  242 pts/h  eta 573.8 min
  130/2430  ok=130 warn=0 bad=0  224 pts/h  eta 615.8 min
  140/2430  ok=140 warn=0 bad=0  229 pts/h  eta 598.9 min
  150/2430  ok=150 warn=0 bad=0  240 pts/h  eta 570.0 min
  160/2430  ok=160 warn=0 bad=0  229 pts/h  eta 594.7 min
  170/2430  ok=170 warn=0 bad=0  237 pts/h  eta 573.2 min
  180/2430  ok=180 warn=0 bad=0  242 pts/h  eta 558.4 min
  190/2430  ok=190 warn=0 bad=0  242 pts/h  eta 556.2 min
  200/2430  ok=200 warn=0 bad=0  239 pts/h  eta 559.7 min
  210/2430  ok=210 warn=0 bad=0  244 pts/h  eta 545.6 min
  220/2430  ok=220 warn=0 bad=0  248 pts/h  eta 534.7 min
  230/2430  ok=230 warn=0 bad=0  242 pts/h  eta 545.4 min
  240/2430  ok=240 warn=0 bad=0  244 pts/h  eta 539.3 min
  250/2430  ok=250 warn=0 bad=0  251 pts/h  eta 521.6 min
  260/2430  ok=260 warn=0 bad=0  241 pts/h  eta 539.3 min
  270/2430  ok=270 warn=0 bad=0  242 pts/h  eta 535.6 min
  280/2430  ok=280 warn=0 bad=0  247 pts/h  eta 522.5 min
  290/2430  ok=290 warn=0 bad=0  244 pts/h  eta 525.8 min
  300/2430  ok=300 warn=0 bad=0  241 pts/h  eta 530.6 min
  310/2430  ok=310 warn=0 bad=0  246 pts/h  eta 518.0 min
  320/2430  ok=320 warn=0 bad=0  245 pts/h  eta 516.3 min
  330/2430  ok=330 warn=0 bad=0  241 pts/h  eta 523.3 min
  340/2430  ok=340 warn=0 bad=0  245 pts/h  eta 512.0 min
  350/2430  ok=350 warn=0 bad=0  248 pts/h  eta 503.3 min
  360/2430  ok=360 warn=0 bad=0  243 pts/h  eta 511.9 min
  370/2430  ok=370 warn=0 bad=0  246 pts/h  eta 502.8 min
  380/2430  ok=380 warn=0 bad=0  249 pts/h  eta 494.1 min
  390/2430  ok=390 warn=0 bad=0  244 pts/h  eta 502.6 min
  400/2430  ok=400 warn=0 bad=0  246 pts/h  eta 495.5 min
  410/2430  ok=410 warn=0 bad=0  249 pts/h  eta 487.1 min
  420/2430  ok=420 warn=0 bad=0  245 pts/h  eta 493.0 min
  430/2430  ok=430 warn=0 bad=0  245 pts/h  eta 489.8 min
  440/2430  ok=440 warn=0 bad=0  246 pts/h  eta 484.5 min
  450/2430  ok=450 warn=0 bad=0  245 pts/h  eta 484.1 min
  460/2430  ok=460 warn=0 bad=0  244 pts/h  eta 484.5 min
  470/2430  ok=470 warn=0 bad=0  246 pts/h  eta 478.2 min
  480/2430  ok=480 warn=0 bad=0  246 pts/h  eta 474.9 min
  490/2430  ok=490 warn=0 bad=0  245 pts/h  eta 475.9 min
  500/2430  ok=500 warn=0 bad=0  246 pts/h  eta 470.3 min
  510/2430  ok=510 warn=0 bad=0  247 pts/h  eta 466.5 min
  520/2430  ok=520 warn=0 bad=0  245 pts/h  eta 468.4 min
  530/2430  ok=530 warn=0 bad=0  246 pts/h  eta 462.6 min
  540/2430  ok=540 warn=0 bad=0  247 pts/h  eta 459.1 min
  550/2430  ok=550 warn=0 bad=0  247 pts/h  eta 457.4 min
  560/2430  ok=560 warn=0 bad=0  246 pts/h  eta 455.3 min
  570/2430  ok=570 warn=0 bad=0  247 pts/h  eta 451.0 min
  580/2430  ok=580 warn=0 bad=0  246 pts/h  eta 451.6 min
  590/2430  ok=590 warn=0 bad=0  246 pts/h  eta 448.8 min
  600/2430  ok=600 warn=0 bad=0  246 pts/h  eta 445.6 min
  610/2430  ok=610 warn=0 bad=0  246 pts/h  eta 443.4 min
  620/2430  ok=620 warn=0 bad=0  245 pts/h  eta 442.7 min
  630/2430  ok=630 warn=0 bad=0  247 pts/h  eta 437.9 min
  640/2430  ok=640 warn=0 bad=0  246 pts/h  eta 436.2 min
  650/2430  ok=650 warn=0 bad=0  247 pts/h  eta 432.6 min
  660/2430  ok=660 warn=0 bad=0  247 pts/h  eta 430.2 min
  670/2430  ok=670 warn=0 bad=0  247 pts/h  eta 426.9 min
