E_eV,lambda_nm,sigma_200K,sigma_250K,sigma_298K
1.5,826.5613226666666,0.0,0.0,0.0
1.5020010005002502,825.4601585398833,0.0,0.0,0.0
1.5040020010005002,824.3619245022451,5.6171664749641205e-36,4.5594910049991913e-35,1.7427160803414194e-34
1.5060030015007504,823.2666088742733,1.3736853378466925e-35,1.1150294315696378e-34,4.261834749360811e-34
1.5080040020010006,822.1742000384805,2.6793528212075225e-34,8.673163884476711e-34,1.985778946324897e-33
1.5100050025012506,821.0846864389597,4.754955682945542e-34,1.4708630447075648e-33,3.193442048192213e-33
1.5120060030015008,819.9980565809759,1.8998508215920526e-33,3.0942071187015734e-33,5.0816141106282504e-33
1.5140070035017508,818.9142990305634,4.9670924320190444e-33,6.1154213222665136e-33,7.962080722946617e-33
1.516008004002001,817.833402414123,7.132406685142882e-33,8.013353678305901e-33,9.362264890321598e-33
1.5180090045022512,816.7553554180259,7.969035258713544e-33,8.441450561922969e-33,9.129621117820772e-33
1.5200100050025012,815.6801467882178,7.29595755797568e-33,7.29920912956476e-33,7.301508863601142e-33
1.5220110055027514,814.6077653298274,5.442008821866394e-33,5.390338187559991e-33,5.312944499986094e-33
1.5240120060030016,813.5381999067781,2.5587869113483805e-33,2.534491812407518e-33,2.498101949533838e-33
1.5260130065032516,812.471439441403,0.0,0.0,0.0
1.5280140070035018,811.4074729140611,0.0,0.0,0.0
1.530015007503752,810.3462893627594,0.0,0.0,0.0
1.532016008004002,809.2878778827754,3.445430178754374e-36,2.796678357032968e-35,1.068938690524961e-34
1.5340170085042522,808.2322276262839,1.3093455735687995e-35,1.0628044213627442e-34,4.062221755314419e-34
1.5360180090045024,807.1793278019866,2.2973217134180523e-34,7.636380906799675e-34,1.7993506998023377e-33
1.5380190095047523,806.1291676747438,4.8139147362990965e-34,1.5011471484474507e-33,3.2913278221345195e-33
1.5400200100050025,805.0817365652102,1.1807537882526671e-33,2.4936041601571426e-33,4.6996672514120314e-33
1.5420210105052525,804.0370238494728,4.750722271367437e-33,6.0800194067426336e-33,8.241310242887082e-33
1.5440220110055027,802.995018958691,7.468528636362956e-33,8.559098575451582e-33,1.0259649297929915e-32
1.546023011505753,801.9557113787412,8.798793115676012e-33,9.451436984812171e-33,1.0402891595755619e-32
1.548024012006003,800.9190906498626,8.470157478218088e-33,8.615048393540019e-33,8.824084022901588e-33
1.5500250125062531,799.8851463663062,6.69181962235312e-33,6.628282319149625e-33,6.533114410734576e-33
1.5520260130065033,798.853868175987,3.726199771356362e-33,3.6908203531965204e-33,3.637828094201362e-33
1.5540270135067533,797.8252457801384,4.0255602151794534e-36,3.987338437787037e-36,3.930088815487333e-36
1.5560280140070035,796.7992689329689,0.0,0.0,0.0
1.5580290145072537,795.7759274413228,0.0,0.0,0.0
1.5600300150075037,794.7552111643417,5.086432981226861e-37,4.12869113436472e-36,1.5780569416041055e-35
1.562031015507754,793.7371100131304,1.1797971280845356e-35,9.576490953581144e-35,3.66029996763925e-34
1.564032016008004,792.7216139504238,1.7508604062978689e-34,6.108220902141466e-34,1.5108420425656449e-33
1.566033016508254,791.7087129902571,4.756702452570641e-34,1.4977973492909464e-33,3.3223299469322095e-33
1.5680340170085043,790.6983971976391,6.900334236496038e-34,2.1123537195818327e-33,4.527129810849306e-33
1.5700350175087543,789.6906566882268,4.369611028359889e-33,5.8915416052273e-33,8.391769631334396e-33
1.5720360180090045,788.6854816280031,7.709180521081077e-33,9.035770407604595e-33,1.1136366879099992e-32
1.5740370185092547,787.6828622329572,9.622932847461121e-33,1.0495938435637935e-32,1.1786558653104794e-32
1.5760380190095047,786.6827887687668,9.729849252830132e-33,1.005056086095962e-32,1.0516289858344269e-32
1.578039019509755,785.6852515504834,8.08720196740501e-33,8.010415826643759e-33,7.895403447410297e-33
1.580040020010005,784.6902409422194,5.091335893892305e-33,5.042994819168698e-33,4.970588236892977e-33
