space,r,conv_s,conv_t,e_cas_s,e_nev_s,e_cas_t,e_nev_t,de_cas,de_nev,wall,cpu,note
"(10,6)",1.5391,True,True,-536.2300422246182,-536.7261328992962,-536.0389700042587,-536.5688879680698,5.199339989080926,4.2788525588250375,147.632004737854,4684.519023938,
"(10,6)",1.5891,True,True,-536.2392305057732,-536.7355577359839,-536.0613350675671,-536.5859179275933,4.840781480424517,4.071906623891946,196.15772414207458,6228.240425793,
"(10,6)",1.6391,True,True,-536.2446788980745,-536.7408143079725,-536.0811481348712,-536.6003270024253,4.44989876062652,3.822854333904448,153.4791121482849,4874.3615885439995,
"(10,6)",1.6891,True,True,-536.2472775113478,-536.7428470256173,-536.0984726404567,-536.6123822479566,4.049186817099725,3.550127456421631,183.25695395469666,5816.766847304001,
"(10,6)",1.7391,True,True,-536.2477292261995,-536.7424434285678,-536.1134174057585,-536.6222914188812,3.654810823421423,3.2695027438119997,122.92967891693115,3906.046789240998,
"(10,6)",1.7891000000000001,True,True,-536.2465906249762,-536.7401580586956,-536.126141717064,-536.6302734990221,3.277581756106078,2.9901111957444653,188.20297765731812,5976.825662358999,
"(10,6)",1.8391000000000002,True,True,-536.244303569982,-536.736512444599,-536.1368508921923,-536.6365508825614,2.9239363184995377,2.7200926743575935,194.89150524139404,6184.292141518996,
"(10,6)",1.8891,True,True,-536.2412192812637,-536.7319023542223,-536.1457753367254,-536.6413492681511,2.597162039674355,2.4640750008487444,181.7951717376709,5772.452101825002,
"(12,7)",1.5391,True,False,-536.2302552874658,-536.7164485324579,-536.0391571074662,-536.557966066799,5.200046386874052,4.312527586259096,286.92731738090515,9102.296169838002,
"(12,7)",1.5891,True,True,-536.2394516889751,-536.7265457440592,-536.0615274925779,-536.5755264775653,4.8415640306731635,4.109443591151417,289.3701202869415,9177.606360787002,
"(12,7)",1.6391,True,True,-536.2449064197034,-536.7322529507671,-536.0813361818452,-536.5903848297396,4.450972920706323,3.860428237272639,237.70479917526245,7545.5221496219965,
"(12,7)",1.6891,True,False,-536.247508750263,-536.7345765538946,-536.0986526885907,-536.6028154938484,4.050579789221312,3.5854010970976278,304.0916066169739,9654.280617053999,
"(12,7)",1.7391,True,True,-536.2479613055878,-536.7342389331174,-536.1135869838845,-536.612992534182,3.656511569410123,3.2992825923647104,208.06437802314758,6607.114643020002,
"(12,7)",1.7891000000000001,True,True,-536.2468206945566,-536.7319423611733,-536.1262975524913,-536.6211804354075,3.2796017703184397,3.0139855433630243,229.96507239341736,7299.783087217002,
"(12,7)",1.8391000000000002,True,False,-536.2445289524229,-536.7282830054469,-536.1369910400157,-536.627590842488,2.926255670600203,2.739973338219178,255.085955619812,8097.365254445991,
"(12,7)",1.8891,True,False,-536.2414375784781,-536.7236224808719,-536.1459017011678,-536.6324974592621,2.599663657840979,2.4796381596966777,307.53957438468933,9764.800839431002,
