r_ocl_A,r_oh_A,theta_deg,ncas,nelecas,conv_cas,e_casscf_Ha,e_nevpt2_Ha,s2,gap_app_eV,status,wall_s
2.6,1.05,135.0,6,10,True,-536.1745376417543,-536.6398048763713,2.000000000000001,0.28868839052164597,ok,2.85
2.6,0.9,125.0,6,10,True,-536.1798837073645,-536.6405431918301,1.9999999999999998,0.2936738588861653,ok,3.13
2.5,1.25,125.0,6,10,True,-536.1304492134335,-536.6044344282412,2.0,0.368331968887754,ok,4.16
2.9,1.25,105.0,6,10,True,-536.1338834129085,-536.6027317995934,1.9999999999999998,0.1333382979542583,ok,4.16
3.0,1.05,115.0,6,10,True,-536.1773216560543,-536.6393717173189,1.9999999999999996,0.1107420314578488,ok,4.21
2.6,1.2,135.0,6,10,True,-536.1436835863317,-536.6138038211301,2.000000000000001,0.2790682117877441,ok,4.25
2.4,1.15,105.0,6,10,True,-536.1539931794854,-536.6283715176064,1.9999999999999993,0.5060306161509383,ok,4.26
3.0,1.2,115.0,6,10,True,-536.1464099890875,-536.6130374635434,2.0000000000000004,0.10837568948384783,ok,4.26
2.5,1.1,115.0,6,10,True,-536.1657165832643,-536.6352854632383,1.9999999999999998,0.3792250103350856,ok,4.29
2.9,1.1,105.0,6,10,True,-536.1686207676081,-536.6329252460548,2.0000000000000004,0.13469027975475137,ok,4.36
2.8,1.15,85.0,6,10,True,-536.1575906902699,-536.6246467994781,2.000000000000001,0.16615816112308193,ok,4.43
2.7,1.05,75.0,6,10,True,-536.1754536884439,-536.6409669408041,1.9999999999999978,0.21323820848438868,ok,4.44
2.4,1.0,105.0,6,10,True,-536.1789725582796,-536.6482959421911,2.0000000000000004,0.5065900594415567,ok,4.47
2.3,1.2,95.0,6,10,True,-536.1396984119428,-536.6199318574742,2.0000000000000004,0.6840981910869146,ok,4.53
3.0,0.9,115.0,6,10,True,-536.1822189041116,-536.6395337114886,2.0,0.11171590531883187,ok,4.62
2.3,1.05,95.0,6,10,True,-536.1706162296433,-536.6457050551464,2.0000000000000004,0.6847184924076236,ok,4.63
2.7,1.2,75.0,6,10,True,-536.1444343610873,-536.6147928110701,2.0,0.21952828406199162,ok,4.65
2.5,0.95,115.0,6,10,True,-536.1823114295553,-536.646900431252,1.9999999999999996,0.3809336499615201,ok,4.66
2.8,1.0,85.0,6,10,True,-536.1826992745089,-536.6450399996774,1.9999999999999998,0.16264711054397468,ok,4.66
2.2,1.25,85.0,6,10,True,-536.1216043846051,-536.6092473595774,2.000000000000001,0.9309478235344445,ok,4.78
2.2,1.1,75.0,6,10,True,-536.153396836203,-536.6368784185171,1.9999999999999998,0.9523332145555109,ok,4.8
2.5,0.8,115.0,6,10,True,-536.1472899056008,-536.606875258673,1.9999999999999987,0.3785869124857505,ok,4.8
2.3,0.9,85.0,6,10,True,-536.1747144561793,-536.6449518941341,1.9999999999999996,0.684839499113818,ok,4.89
2.8,0.85,85.0,6,10,True,-536.1709494040086,-536.6284204345324,1.9999999999999998,0.1573899673518654,ok,4.93
2.9,0.8,95.0,6,10,True,-536.1504554862831,-536.6054209516559,1.9999999999999993,0.12559267115702838,ok,4.96
2.2,0.95,75.0,6,10,True,-536.1707832936404,-536.6481874621203,1.9999999999999998,0.937817370634251,ok,4.97
2.7,0.85,135.0,6,10,True,-536.169866943668,-536.6273258875661,2.0,0.23197315189078735,ok,4.98
2.4,0.85,95.0,6,10,True,-536.1672298842254,-536.6318001531338,2.0000000000000013,0.5032343492247351,ok,5.01
2.9,0.95,95.0,6,10,True,-536.1853111959119,-536.6450325095495,1.9999999999999998,0.12916714039679536,ok,5.31
2.2,0.8,75.0,6,10,True,-536.1368277119564,-536.608304644545,1.9999999999999998,0.9153690005663209,ok,5.34
3.1,0.85,125.0,6,10,True,-536.1715927763695,-536.6268363931912,1.9999999999999998,0.09487584905628166,ok,2.63
3.1,1.0,125.0,6,10,True,-536.1832534899396,-536.6432496561888,2.0,0.092869779056252,ok,2.62
3.2,0.8,135.0,6,10,True,-536.1506390234451,-536.6040174279384,1.9999999999999996,0.08143647021389026,ok,2.87
3.4,1.05,95.0,6,10,True,-536.1772364947122,-536.6381623570846,2.0,0.046038389032989194,ok,2.62
3.4,1.2,105.0,6,10,True,-536.1463442406603,-536.6117471224389,2.0,0.04882253344266416,ok,2.67
3.2,1.15,75.0,6,10,True,-536.1579419115585,-536.6225085941206,2.0000000000000004,0.05906246842147842,ok,3.08
3.1,1.15,135.0,6,10,True,-536.1579129139599,-536.62252065085,2.0000000000000004,0.08907216818255757,ok,3.26
3.3,1.1,85.0,6,10,True,-536.1685952891904,-536.6312639222296,2.0000000000000013,0.05113490797854785,ok,3.71
3.3,1.25,85.0,6,10,True,-536.1338647753508,-536.6009909063844,2.0,0.052465979154269905,ok,3.64
3.5,1.15,115.0,6,10,True,-536.157957268266,-536.6217304402937,1.999999999999999,0.04325550830907851,ok,3.57
3.3,0.8,75.0,6,10,True,-536.1504424566851,-536.6037719251175,1.9999999999999993,0.040872004289701114,ok,3.98
3.6,1.1,125.0,6,10,True,-536.1683352759005,-536.630502950915,2.0000000000000004,0.03836498867980793,ok,3.58
3.4,0.9,95.0,6,10,True,-536.1821358197113,-536.6383727533826,2.0,0.045265725167909526,ok,3.84
3.5,0.85,105.0,6,10,True,-536.1714568520856,-536.6259727768904,2.0000000000000004,0.04233851698495879,ok,3.84
3.5,1.0,105.0,6,10,True,-536.1831327020499,-536.6423576276051,1.9999999999999998,0.04223975024427265,ok,3.88
3.6,1.25,135.0,6,10,True,-536.1334553064637,-536.6001052134303,1.9999999999999993,0.03513667300548352,ok,3.74
3.2,0.95,135.0,6,10,True,-536.1853318286506,-536.64341966027,2.0,0.0787619158706885,ok,4.35
3.6,0.95,125.0,6,10,True,-536.1851637662243,-536.642698780029,1.9999999999999998,0.04054886998642384,ok,3.92
