r,e_s,t1_s,e_t,t1_t,s2,de
1.4,-536.7315714279111,0.006618841323703702,-536.5546787902405,0.026683401381765493,2.0,4.8134938877283675
1.5999999999999999,-536.7959243222533,0.007136401791163378,-536.6485808123732,0.030313688918944617,2.0,4.009421158187002
1.7999999999999998,-536.7972408029417,0.008280609834847224,-536.6982234425742,0.024282959896822037,2.0,2.6943996380181594
2.0,-536.7780435774935,0.010320658670240094,-536.7171183150116,0.02902151878365485,2.0,1.6578608495324663
2.2,-536.7561709380253,0.013487107769122677,-536.7200070845638,0.04109706185785064,2.0,0.984068584684642
2.4,-536.7389923379004,0.017669449721401345,-536.7156169167981,0.09523860219399315,2.0,0.6360776122769491
2.6,-536.7286293835887,0.022369410346697875,-536.7191336457272,0.09951127242543567,2.0,0.2583921906391352
2.8,-536.7244881608035,0.026968735289596417,-536.7178164407121,0.01820129479985311,2.0,0.1815467523319301
3.0,-536.7248308899397,0.030968387092867318,-536.717228200635,0.01644309052548453,2.0,0.2068797151781643
3.2,-536.7277760405714,0.03408883188681421,-536.7166418880446,0.015354979912005049,2.0,0.30297572492792557
3.4,-536.7318205444635,0.03627777971145944,-536.7161249808024,0.014674110986374172,2.0,0.42709804513061395
3.6,-536.7359949776902,0.03764862825158246,-536.7156952858568,0.014253239712624544,2.0,0.5523827551539724
3.8000000000000003,-536.739792319332,0.0383849297138492,-536.7153562000339,0.014001503818824874,2.0,0.6649406805740744
4.0,-536.7430201481114,0.03867448618320744,-536.7150873303041,0.013858277525232478,2.0,0.7600906942951114
