==============================================================================
== HOX Phase 1 -- multireference outer shell of the a 3A" surface
==============================================================================
  r(O-Cl) 2.2-3.6 A, 15 points (overlaps the raster below 2.40)
  r(O-H)  0.8-1.25 A, 10 points
  angle   75.0-135.0 deg, 7 points
  total   1050 geometries, CAS(10,6) SA-4 + SC-NEVPT2, def2-tzvp
  estimate 58 CPU-hours = 1.9 h on 30 workers at 200 s/point
  50 already in hocl_outer_shell.csv, 1000 to run

  10/1000  ok=10 warn=0 bad=0  7379 pts/h  eta 8.0 min
  20/1000  ok=20 warn=0 bad=0  14028 pts/h  eta 4.2 min
  30/1000  ok=30 warn=0 bad=0  19038 pts/h  eta 3.1 min
  40/1000  ok=40 warn=0 bad=0  16256 pts/h  eta 3.5 min
  50/1000  ok=50 warn=0 bad=0  19453 pts/h  eta 2.9 min
  60/1000  ok=60 warn=0 bad=0  22146 pts/h  eta 2.5 min
  70/1000  ok=70 warn=0 bad=0  18740 pts/h  eta 3.0 min
  80/1000  ok=80 warn=0 bad=0  20906 pts/h  eta 2.6 min
  90/1000  ok=90 warn=0 bad=0  23026 pts/h  eta 2.4 min
  100/1000  ok=100 warn=0 bad=0  20505 pts/h  eta 2.6 min
  110/1000  ok=110 warn=0 bad=0  22123 pts/h  eta 2.4 min
  120/1000  ok=120 warn=0 bad=0  23695 pts/h  eta 2.2 min
  130/1000  ok=130 warn=0 bad=0  21871 pts/h  eta 2.4 min
  140/1000  ok=140 warn=0 bad=0  22466 pts/h  eta 2.3 min
  150/1000  ok=150 warn=0 bad=0  23680 pts/h  eta 2.2 min
  160/1000  ok=159 warn=0 bad=1  23098 pts/h  eta 2.2 min
  170/1000  ok=169 warn=0 bad=1  23135 pts/h  eta 2.2 min
  180/1000  ok=179 warn=0 bad=1  23991 pts/h  eta 2.1 min
  190/1000  ok=189 warn=0 bad=1  23843 pts/h  eta 2.0 min
  200/1000  ok=199 warn=0 bad=1  23944 pts/h  eta 2.0 min
  210/1000  ok=209 warn=0 bad=1  23810 pts/h  eta 2.0 min
  220/1000  ok=219 warn=0 bad=1  24273 pts/h  eta 1.9 min
  230/1000  ok=229 warn=0 bad=1  24203 pts/h  eta 1.9 min
  240/1000  ok=239 warn=0 bad=1  24021 pts/h  eta 1.9 min
  250/1000  ok=249 warn=0 bad=1  24692 pts/h  eta 1.8 min
  260/1000  ok=259 warn=0 bad=1  24624 pts/h  eta 1.8 min
  270/1000  ok=269 warn=0 bad=1  23941 pts/h  eta 1.8 min
  280/1000  ok=279 warn=0 bad=1  24500 pts/h  eta 1.8 min
  290/1000  ok=289 warn=0 bad=1  24571 pts/h  eta 1.7 min
  300/1000  ok=299 warn=0 bad=1  24113 pts/h  eta 1.7 min
  310/1000  ok=309 warn=0 bad=1  24613 pts/h  eta 1.7 min
  320/1000  ok=319 warn=0 bad=1  24955 pts/h  eta 1.6 min
  330/1000  ok=329 warn=0 bad=1  24472 pts/h  eta 1.6 min
  340/1000  ok=338 warn=0 bad=2  24421 pts/h  eta 1.6 min
  350/1000  ok=348 warn=0 bad=2  24955 pts/h  eta 1.6 min
  360/1000  ok=357 warn=0 bad=3  24454 pts/h  eta 1.6 min
  370/1000  ok=367 warn=0 bad=3  24666 pts/h  eta 1.5 min
  380/1000  ok=377 warn=0 bad=3  25069 pts/h  eta 1.5 min
  390/1000  ok=387 warn=0 bad=3  24882 pts/h  eta 1.5 min
  400/1000  ok=397 warn=0 bad=3  24841 pts/h  eta 1.4 min
  410/1000  ok=406 warn=0 bad=4  24894 pts/h  eta 1.4 min
  420/1000  ok=416 warn=0 bad=4  25279 pts/h  eta 1.4 min
