==============================================================================
== HOX Phase 1 -- 3D CCSD(T) + EOM-CCSD raster for HOCl
==============================================================================
  r(O-Cl) 1.4-2.4 A, 21 points
  r(O-H)  0.8-1.25 A, 10 points
  angle   75.0-135.0 deg, 13 points
  total   2730 geometries, def2-tzvp, 4 EOM roots
  estimate 84 CPU-hours = 2.8 h on 30 workers at 111 s/point
  60 already in hocl_pes_raster.csv, 2670 to run

  10/2670  ok=10 warn=0 bad=0  372 pts/h  eta 429.0 min
  20/2670  ok=20 warn=0 bad=0  679 pts/h  eta 234.2 min
  30/2670  ok=30 warn=0 bad=0  1000 pts/h  eta 158.5 min
  40/2670  ok=40 warn=0 bad=0  752 pts/h  eta 209.7 min
  50/2670  ok=50 warn=0 bad=0  861 pts/h  eta 182.6 min
  60/2670  ok=60 warn=0 bad=0  1019 pts/h  eta 153.7 min
  70/2670  ok=70 warn=0 bad=0  887 pts/h  eta 175.8 min
  80/2670  ok=80 warn=0 bad=0  923 pts/h  eta 168.4 min
  90/2670  ok=90 warn=0 bad=0  1025 pts/h  eta 151.1 min
  100/2670  ok=100 warn=0 bad=0  953 pts/h  eta 161.8 min
  110/2670  ok=110 warn=0 bad=0  962 pts/h  eta 159.7 min
  120/2670  ok=120 warn=0 bad=0  1028 pts/h  eta 148.9 min
  130/2670  ok=130 warn=0 bad=0  998 pts/h  eta 152.8 min
  140/2670  ok=140 warn=0 bad=0  986 pts/h  eta 153.9 min
  150/2670  ok=150 warn=0 bad=0  1031 pts/h  eta 146.6 min
  160/2670  ok=160 warn=0 bad=0  1024 pts/h  eta 147.0 min
  170/2670  ok=170 warn=0 bad=0  1064 pts/h  eta 141.0 min
  180/2670  ok=180 warn=0 bad=0  1031 pts/h  eta 144.9 min
  190/2670  ok=190 warn=0 bad=0  1045 pts/h  eta 142.4 min
  200/2670  ok=200 warn=0 bad=0  1086 pts/h  eta 136.5 min
  210/2670  ok=210 warn=0 bad=0  1033 pts/h  eta 142.9 min
  220/2670  ok=220 warn=0 bad=0  1058 pts/h  eta 139.0 min
  230/2670  ok=230 warn=0 bad=0  1093 pts/h  eta 134.0 min
  240/2670  ok=240 warn=0 bad=0  1039 pts/h  eta 140.4 min
  250/2670  ok=250 warn=0 bad=0  1071 pts/h  eta 135.6 min
  260/2670  ok=260 warn=0 bad=0  1090 pts/h  eta 132.7 min
  270/2670  ok=270 warn=0 bad=0  1038 pts/h  eta 138.8 min
  280/2670  ok=280 warn=0 bad=0  1066 pts/h  eta 134.5 min
  290/2670  ok=290 warn=0 bad=0  1090 pts/h  eta 131.1 min
  300/2670  ok=300 warn=0 bad=0  1046 pts/h  eta 136.0 min
  310/2670  ok=310 warn=0 bad=0  1066 pts/h  eta 132.8 min
  320/2670  ok=320 warn=0 bad=0  1088 pts/h  eta 129.6 min
  330/2670  ok=330 warn=0 bad=0  1056 pts/h  eta 133.0 min
  340/2670  ok=340 warn=0 bad=0  1068 pts/h  eta 130.9 min
  350/2670  ok=350 warn=0 bad=0  1088 pts/h  eta 127.9 min
  360/2670  ok=360 warn=0 bad=0  1065 pts/h  eta 130.1 min
  370/2670  ok=370 warn=0 bad=0  1070 pts/h  eta 129.0 min
  380/2670  ok=380 warn=0 bad=0  1086 pts/h  eta 126.5 min
  390/2670  ok=390 warn=0 bad=0  1074 pts/h  eta 127.4 min
  400/2670  ok=400 warn=0 bad=0  1063 pts/h  eta 128.2 min
  410/2670  ok=410 warn=0 bad=0  1070 pts/h  eta 126.7 min
  420/2670  ok=420 warn=0 bad=0  1073 pts/h  eta 125.8 min
  430/2670  ok=430 warn=0 bad=0  1061 pts/h  eta 126.7 min
  440/2670  ok=440 warn=0 bad=0  1061 pts/h  eta 126.1 min
  450/2670  ok=450 warn=0 bad=0  1071 pts/h  eta 124.3 min
  460/2670  ok=460 warn=0 bad=0  1061 pts/h  eta 125.0 min
  470/2670  ok=470 warn=0 bad=0  1063 pts/h  eta 124.2 min
  480/2670  ok=480 warn=0 bad=0  1073 pts/h  eta 122.4 min
  490/2670  ok=490 warn=0 bad=0  1069 pts/h  eta 122.4 min
  500/2670  ok=500 warn=0 bad=0  1067 pts/h  eta 122.0 min
  510/2670  ok=510 warn=0 bad=0  1072 pts/h  eta 120.9 min
  520/2670  ok=520 warn=0 bad=0  1071 pts/h  eta 120.5 min
  530/2670  ok=530 warn=0 bad=0  1068 pts/h  eta 120.2 min
  540/2670  ok=540 warn=0 bad=0  1070 pts/h  eta 119.4 min
  550/2670  ok=550 warn=0 bad=0  1071 pts/h  eta 118.7 min
  560/2670  ok=560 warn=0 bad=0  1056 pts/h  eta 119.9 min
  570/2670  ok=570 warn=0 bad=0  1060 pts/h  eta 118.8 min
  580/2670  ok=580 warn=0 bad=0  1065 pts/h  eta 117.7 min
  590/2670  ok=590 warn=0 bad=0  1060 pts/h  eta 117.7 min
  600/2670  ok=600 warn=0 bad=0  1058 pts/h  eta 117.4 min
  610/2670  ok=610 warn=0 bad=0  1065 pts/h  eta 116.1 min
  620/2670  ok=620 warn=0 bad=0  1060 pts/h  eta 116.0 min
  630/2670  ok=630 warn=0 bad=0  1056 pts/h  eta 115.9 min
  640/2670  ok=640 warn=0 bad=0  1060 pts/h  eta 115.0 min
  650/2670  ok=650 warn=0 bad=0  1055 pts/h  eta 114.9 min
  660/2670  ok=660 warn=0 bad=0  1052 pts/h  eta 114.7 min
  670/2670  ok=670 warn=0 bad=0  1054 pts/h  eta 113.8 min
  680/2670  ok=680 warn=0 bad=0  1062 pts/h  eta 112.4 min
  690/2670  ok=690 warn=0 bad=0  1049 pts/h  eta 113.3 min
  700/2670  ok=700 warn=0 bad=0  1055 pts/h  eta 112.0 min
  710/2670  ok=710 warn=0 bad=0  1050 pts/h  eta 112.0 min
  720/2670  ok=720 warn=0 bad=0  1044 pts/h  eta 112.1 min
  730/2670  ok=730 warn=0 bad=0  1049 pts/h  eta 110.9 min
  740/2670  ok=740 warn=0 bad=0  1053 pts/h  eta 110.0 min
  750/2670  ok=750 warn=0 bad=0  1043 pts/h  eta 110.5 min
  760/2670  ok=760 warn=0 bad=0  1047 pts/h  eta 109.5 min
  770/2670  ok=770 warn=0 bad=0  1049 pts/h  eta 108.7 min
  780/2670  ok=780 warn=0 bad=0  1041 pts/h  eta 108.9 min
  790/2670  ok=790 warn=0 bad=0  1045 pts/h  eta 107.9 min
  800/2670  ok=800 warn=0 bad=0  1046 pts/h  eta 107.3 min
  810/2670  ok=810 warn=0 bad=0  1041 pts/h  eta 107.2 min
  820/2670  ok=820 warn=0 bad=0  1040 pts/h  eta 106.8 min
  830/2670  ok=830 warn=0 bad=0  1044 pts/h  eta 105.7 min
  840/2670  ok=840 warn=0 bad=0  1043 pts/h  eta 105.3 min
  850/2670  ok=850 warn=0 bad=0  1035 pts/h  eta 105.5 min
  860/2670  ok=860 warn=0 bad=0  1041 pts/h  eta 104.3 min
  870/2670  ok=870 warn=0 bad=0  1037 pts/h  eta 104.1 min
  880/2670  ok=880 warn=0 bad=0  1032 pts/h  eta 104.0 min
  890/2670  ok=890 warn=0 bad=0  1035 pts/h  eta 103.2 min
  900/2670  ok=900 warn=0 bad=0  1041 pts/h  eta 102.0 min
  910/2670  ok=910 warn=0 bad=0  1034 pts/h  eta 102.1 min
  920/2670  ok=920 warn=0 bad=0  1035 pts/h  eta 101.5 min
  930/2670  ok=930 warn=0 bad=0  1039 pts/h  eta 100.5 min
  940/2670  ok=940 warn=0 bad=0  1040 pts/h  eta 99.8 min
  950/2670  ok=950 warn=0 bad=0  1033 pts/h  eta 99.9 min
  960/2670  ok=960 warn=0 bad=0  1036 pts/h  eta 99.1 min
  970/2670  ok=970 warn=0 bad=0  1035 pts/h  eta 98.6 min
  980/2670  ok=980 warn=0 bad=0  1033 pts/h  eta 98.1 min
  990/2670  ok=990 warn=0 bad=0  1033 pts/h  eta 97.6 min
  1000/2670  ok=1000 warn=0 bad=0  1034 pts/h  eta 96.9 min
  1010/2670  ok=1010 warn=0 bad=0  1029 pts/h  eta 96.8 min
  1020/2670  ok=1020 warn=0 bad=0  1033 pts/h  eta 95.8 min
  1030/2670  ok=1030 warn=0 bad=0  1038 pts/h  eta 94.8 min
  1040/2670  ok=1040 warn=0 bad=0  1035 pts/h  eta 94.5 min
  1050/2670  ok=1050 warn=0 bad=0  1033 pts/h  eta 94.1 min
  1060/2670  ok=1060 warn=0 bad=0  1037 pts/h  eta 93.1 min
  1070/2670  ok=1070 warn=0 bad=0  1032 pts/h  eta 93.0 min
  1080/2670  ok=1080 warn=0 bad=0  1035 pts/h  eta 92.2 min
  1090/2670  ok=1090 warn=0 bad=0  1036 pts/h  eta 91.5 min
  1100/2670  ok=1100 warn=0 bad=0  1032 pts/h  eta 91.3 min
  1110/2670  ok=1110 warn=0 bad=0  1030 pts/h  eta 90.9 min
  1120/2670  ok=1120 warn=0 bad=0  1033 pts/h  eta 90.0 min
  1130/2670  ok=1130 warn=0 bad=0  1033 pts/h  eta 89.4 min
  1140/2670  ok=1140 warn=0 bad=0  1031 pts/h  eta 89.0 min
  1150/2670  ok=1150 warn=0 bad=0  1031 pts/h  eta 88.4 min
  1160/2670  ok=1160 warn=0 bad=0  1036 pts/h  eta 87.5 min
  1170/2670  ok=1170 warn=0 bad=0  1035 pts/h  eta 86.9 min
  1180/2670  ok=1180 warn=0 bad=0  1032 pts/h  eta 86.6 min
  1190/2670  ok=1190 warn=0 bad=0  1038 pts/h  eta 85.5 min
  1200/2670  ok=1200 warn=0 bad=0  1038 pts/h  eta 85.0 min
  1210/2670  ok=1210 warn=0 bad=0  1034 pts/h  eta 84.8 min
  1220/2670  ok=1220 warn=0 bad=0  1038 pts/h  eta 83.8 min
  1230/2670  ok=1230 warn=0 bad=0  1039 pts/h  eta 83.1 min
  1240/2670  ok=1240 warn=0 bad=0  1033 pts/h  eta 83.1 min
  1250/2670  ok=1250 warn=0 bad=0  1035 pts/h  eta 82.3 min
  1260/2670  ok=1260 warn=0 bad=0  1039 pts/h  eta 81.5 min
  1270/2670  ok=1270 warn=0 bad=0  1033 pts/h  eta 81.3 min
  1280/2670  ok=1280 warn=0 bad=0  1037 pts/h  eta 80.4 min
  1290/2670  ok=1290 warn=0 bad=0  1039 pts/h  eta 79.7 min
  1300/2670  ok=1300 warn=0 bad=0  1035 pts/h  eta 79.4 min
  1310/2670  ok=1310 warn=0 bad=0  1039 pts/h  eta 78.6 min
  1320/2670  ok=1320 warn=0 bad=0  1041 pts/h  eta 77.8 min
  1330/2670  ok=1330 warn=0 bad=0  1037 pts/h  eta 77.5 min
  1340/2670  ok=1340 warn=0 bad=0  1040 pts/h  eta 76.7 min
  1350/2670  ok=1350 warn=0 bad=0  1041 pts/h  eta 76.1 min
  1360/2670  ok=1360 warn=0 bad=0  1039 pts/h  eta 75.6 min
  1370/2670  ok=1370 warn=0 bad=0  1041 pts/h  eta 74.9 min
  1380/2670  ok=1380 warn=0 bad=0  1041 pts/h  eta 74.4 min
