E_eV,lambda_nm,sigma_200K,sigma_250K,sigma_298K
1.5,826.5613226666666,0.0,0.0,0.0
1.5020010005002502,825.4601585398833,0.0,0.0,0.0
1.5040020010005002,824.3619245022451,1.1234332949928241e-35,9.118982009998383e-35,3.485432160682839e-34
1.5060030015007504,823.2666088742733,2.747370675693385e-35,2.2300588631392755e-34,8.523669498721622e-34
1.5080040020010006,822.1742000384805,5.358705642415045e-34,1.7346327768953422e-33,3.971557892649794e-33
1.5100050025012506,821.0846864389597,9.509911365891084e-34,2.9417260894151296e-33,6.386884096384425e-33
1.5120060030015008,819.9980565809759,3.799701643184105e-33,6.188414237403147e-33,1.0163228221256501e-32
1.5140070035017508,818.9142990305634,9.934184864038089e-33,1.2230842644533027e-32,1.5924161445893234e-32
1.516008004002001,817.833402414123,1.4264813370285764e-32,1.6026707356611802e-32,1.8724529780643196e-32
1.5180090045022512,816.7553554180259,1.5938070517427088e-32,1.6882901123845938e-32,1.8259242235641543e-32
1.5200100050025012,815.6801467882178,1.459191511595136e-32,1.459841825912952e-32,1.4603017727202285e-32
1.5220110055027514,814.6077653298274,1.0884017643732788e-32,1.0780676375119983e-32,1.0625888999972188e-32
1.5240120060030016,813.5381999067781,5.117573822696761e-33,5.068983624815036e-33,4.996203899067676e-33
1.5260130065032516,812.471439441403,0.0,0.0,0.0
1.5280140070035018,811.4074729140611,0.0,0.0,0.0
1.530015007503752,810.3462893627594,0.0,0.0,0.0
1.532016008004002,809.2878778827754,6.890860357508748e-36,5.593356714065936e-35,2.137877381049922e-34
1.5340170085042522,808.2322276262839,2.618691147137599e-35,2.1256088427254883e-34,8.124443510628838e-34
1.5360180090045024,807.1793278019866,4.594643426836105e-34,1.527276181359935e-33,3.5987013996046754e-33
1.5380190095047523,806.1291676747438,9.627829472598193e-34,3.0022942968949015e-33,6.582655644269039e-33
1.5400200100050025,805.0817365652102,2.3615075765053343e-33,4.987208320314285e-33,9.399334502824063e-33
1.5420210105052525,804.0370238494728,9.501444542734874e-33,1.2160038813485267e-32,1.6482620485774165e-32
1.5440220110055027,802.995018958691,1.4937057272725912e-32,1.7118197150903164e-32,2.051929859585983e-32
1.546023011505753,801.9557113787412,1.7597586231352024e-32,1.8902873969624342e-32,2.0805783191511237e-32
1.548024012006003,800.9190906498626,1.6940314956436177e-32,1.7230096787080037e-32,1.7648168045803177e-32
1.5500250125062531,799.8851463663062,1.338363924470624e-32,1.325656463829925e-32,1.3066228821469152e-32
1.5520260130065033,798.853868175987,7.452399542712724e-33,7.381640706393041e-33,7.275656188402724e-33
1.5540270135067533,797.8252457801384,8.051120430358907e-36,7.974676875574074e-36,7.860177630974667e-36
1.5560280140070035,796.7992689329689,0.0,0.0,0.0
1.5580290145072537,795.7759274413228,0.0,0.0,0.0
1.5600300150075037,794.7552111643417,1.0172865962453722e-36,8.25738226872944e-36,3.156113883208211e-35
1.562031015507754,793.7371100131304,2.359594256169071e-35,1.9152981907162288e-34,7.3205999352785e-34
1.564032016008004,792.7216139504238,3.5017208125957378e-34,1.2216441804282932e-33,3.0216840851312898e-33
1.566033016508254,791.7087129902571,9.513404905141282e-34,2.995594698581893e-33,6.644659893864419e-33
1.5680340170085043,790.6983971976391,1.3800668472992075e-33,4.2247074391636655e-33,9.054259621698613e-33
1.5700350175087543,789.6906566882268,8.739222056719778e-33,1.17830832104546e-32,1.6783539262668793e-32
1.5720360180090045,788.6854816280031,1.5418361042162155e-32,1.807154081520919e-32,2.2272733758199984e-32
1.5740370185092547,787.6828622329572,1.9245865694922242e-32,2.099187687127587e-32,2.3573117306209588e-32
1.5760380190095047,786.6827887687668,1.9459698505660264e-32,2.010112172191924e-32,2.1032579716688538e-32
1.578039019509755,785.6852515504834,1.617440393481002e-32,1.6020831653287518e-32,1.5790806894820593e-32
