cut,r_ocl,r_oh,angle,t1_s,e_ccsdt,omega,root0_sym,gap_any,gap_app,w1,conv,wall,note
oh,1.6891,0.75,102.96,0.007067031911109731,-536.7253721638699,3.523350044963247,"A""",1.0192388672239348,3.7095633797610614,0.9489649142241843,True,21.683929681777954,
oh,1.6891,0.8,102.96,0.007143268825283164,-536.761611098748,3.505534662975599,"A""",1.0207478079540013,3.7018474204896616,0.9487220702945632,True,24.3043270111084,
oh,1.6891,0.85,102.96,0.007241072521074282,-536.7837556887932,3.485691426866074,"A""",1.0232418047050056,3.692251164881591,0.9484471845228095,True,24.23893713951111,
oh,1.6891,0.9,102.96,0.007361749167618018,-536.7957967268051,3.4637245882875782,"A""",1.0266431132611735,3.6794624762467674,0.9481387531676367,True,24.347034215927124,
oh,1.6891,0.95,102.96,0.007507623030300709,-536.8005704853499,3.4394460833327622,"A""",1.0308073144772445,3.6595371915738886,0.9477923735924426,True,24.00364327430725,
oh,1.6891,0.9644,102.96,0.00755474935270269,-536.8009028937292,3.4319815772680826,"A""",1.032127367641751,3.6510327705814474,0.9476844346264354,True,25.03472900390625,
oh,1.6891,1.0,102.96,0.007681942860150624,-536.8001296760431,3.4125105732764354,"A""",1.0355908539127454,3.6179034051644376,0.94739884675354,True,25.605151891708374,
oh,1.6891,1.05,102.96,0.007888625423899055,-536.7959921031868,3.382330116770329,"A""",1.0408446979394108,3.4915944579620093,0.9469414908148853,True,20.99188804626465,
oh,1.6891,1.1,102.96,0.008132197456262157,-536.7892933151358,3.34796263013017,"A""",1.04629878777588,3.1923425523765703,0.9463910688703691,True,20.020930290222168,
oh,1.6891,1.15,102.96,0.008417835466954545,-536.7808846911554,3.307934623080751,"A""",1.0512950267701238,2.809054557568849,0.9456955011772531,True,22.11934185028076,
oh,1.6891,1.2,102.96,0.008751268802920856,-536.7714042042203,3.2599457303841017,"A""",1.0541962138443992,2.4193599338230776,0.9447592759548129,True,26.28307795524597,
oh,1.6891,1.25,102.96,0.009138545161720744,-536.7613302547096,3.2004131919202123,"A""",1.0509853032986494,2.055571803193281,0.9434043224867197,True,24.992785215377808,
bend,1.6891,0.9644,75.0,0.007941022635419405,-536.7752238705841,3.331539414305126,"A""",1.0450418244546822,3.787037952604142,0.9469077222282642,True,25.917174339294434,
