r_A,e_uccsdt_Ha,e_nevpt2_Ha,ncas,nelecas,conv
0.7,-75.56972651871746,-75.53830900952684,5,7,True
0.725,-75.60103015257022,-75.5698835860912,5,7,True
0.75,-75.62651681691845,-75.59562955179791,5,7,True
0.775,-75.64709249233708,-75.61645183817573,5,7,True
0.8,-75.66351842494295,-75.6331120933344,5,7,True
0.825,-75.67643443686947,-75.64624762710402,5,7,True
0.85,-75.68637834790289,-75.65639305459113,5,7,True
0.875,-75.69380249820433,-75.66399690325342,5,7,True
0.9,-75.6990880708239,-75.66943837916801,5,7,True
0.925,-75.7025575876205,-75.67304078895883,5,7,True
0.95,-75.70448523095011,-75.67509901376134,5,7,True
0.975,-75.70510624234213,-75.6758371967762,5,7,True
1.0,-75.70462255420739,-75.67543736480405,5,7,True
1.025,-75.70320870574355,-75.67408534246277,5,7,True
1.05,-75.70101572615326,-75.67193468284177,5,7,True
1.075,-75.69817437369892,-75.6691167795872,5,7,True
1.1,-75.69479785149744,-75.66574605901538,5,7,True
1.125,-75.69098413321316,-75.66192125872777,5,7,True
1.15,-75.68681800280729,-75.65772846737032,5,7,True
1.175,-75.68237281645538,-75.6532425482387,5,7,True
1.2,-75.67771206785241,-75.64852842804687,5,7,True
1.225,-75.67289073517749,-75.64364290916994,5,7,True
1.25,-75.66795645420694,-75.6386355857748,5,7,True
1.275,-75.66295059648517,-75.63354887975729,5,7,True
1.3,-75.65790813357809,-75.62840230561233,5,7,True
1.325,-75.65286131238506,-75.62327048013272,5,7,True
1.35,-75.64783645294011,-75.61815727035166,5,7,True
1.375,-75.64285681942695,-75.61308751125522,5,7,True
1.4,-75.63794256326288,-75.60808446937116,5,7,True
