r_ocl_A,r_oh_A,theta_deg,nbf,t1_s,e_hf_Ha,e_ccsd_Ha,e_ccsdt_Ha,omega_app_eV,root0_sym,gap_any_eV,gap_app_eV,w1,status,wall_s
1.65,0.8,115.0,74,0.006965886883911912,-536.1801298116384,-536.7403960632267,-536.7578844944702,3.7064825837285715,"A""",0.9179925330601275,3.9640657577149954,0.9506,ok,75.8
1.65,1.15,130.0,74,0.009375348204164694,-536.1684835103763,-536.7425121174962,-536.7620799723692,3.005035995248312,"A""",0.8237514379262344,3.18903547015675,0.9453,ok,85.54
1.85,0.8,105.0,74,0.00823054111799568,-536.163824342164,-536.73254800995,-536.7524782214324,2.4523710857437124,"A""",0.916838311530286,2.6178806994174244,0.9399,ok,94.91
1.6,1.15,75.0,74,0.008440152361410772,-536.1468434490718,-536.7249179425277,-536.7452158852755,3.7593128472926542,"A""",0.8500762532952822,2.1439160415649017,0.9474,ok,95.78
1.55,1.25,125.0,74,0.009769919543870475,-536.1465670286084,-536.7214560331477,-536.7408774668102,3.274691449151401,"A""",0.8132478398651759,2.375470550099762,0.9404,ok,95.87
1.6,0.95,100.0,74,0.007096729494904277,-536.2118771425571,-536.7768071239566,-536.7947594110245,4.046967887696133,"A""",1.0613564187867714,3.6010648797588596,0.9515,ok,96.59
1.5,1.2,135.0,74,0.009447832769735563,-536.1405691160948,-536.7113950586051,-536.729968200355,3.311825482360785,"A""",0.6583849397399437,2.7810465313550963,0.9427,ok,97.37
1.55,1.1,85.0,74,0.007646293066004637,-536.1688443386487,-536.7407140504823,-536.7595465469742,4.144033037248445,"A""",0.9578576850162717,2.0703215837290565,0.9502,ok,97.56
1.8,1.1,130.0,74,0.010356546749089162,-536.1649047908428,-536.7435608853825,-536.7646877331545,2.184573286511922,"A""",0.7719176402962815,2.825948654640868,0.9397,ok,97.65
1.9,1.0,135.0,74,0.011411036240583892,-536.1567609300967,-536.7367257900644,-536.7589377919726,1.5844197070328694,"A""",0.5922778002623041,2.320436955547434,0.9333,ok,97.85
1.9,0.85,95.0,74,0.008888430096032884,-536.1770411239963,-536.7503931210495,-536.7714349741003,2.1934637658327945,"A""",0.9541841135442112,2.392236732093216,0.9366,ok,98.15
1.85,1.15,120.0,74,0.010422088485783292,-536.1585517039299,-536.7417066196024,-536.7638543758638,2.1066933419466296,"A""",0.8873626987686584,2.576391193441028,0.9369,ok,98.3
1.85,1.0,80.0,74,0.009167479731063391,-536.1834779578933,-536.7631122173844,-536.7848627297399,2.3822798554557036,"A""",1.0389581462487818,2.7200090958311307,0.9392,ok,98.42
1.45,1.0,105.0,74,0.006822946732927899,-536.1794881001747,-536.7411866004954,-536.7580228023534,4.678004020365307,"A""",1.0637668427803593,2.3313342363328675,0.9542,ok,102.51
