r,e_s,t1_s,e_t,t1_t,s2,de
1.4,-536.7315714277985,0.0066188413237948055,-536.5546787902405,0.02668340138167024,2.0,4.813493884662633
1.5999999999999999,-536.7959243221518,0.007136401791162967,-536.6485808123726,0.030313688918915657,2.0,4.009421155439906
1.7999999999999998,-536.7972408028535,0.00828060983485031,-536.6982234425742,0.02428295989679874,2.0,2.694399635617544
2.0,-536.7780435774616,0.010320658670238838,-536.7171183150117,0.029021518783642862,2.0,1.6578608486631714
2.2,-536.7561709381293,0.013487107768755807,-536.720007084489,0.0410970614800819,2.0,0.9840685895508378
2.4,-536.7389923399321,0.017669449723325653,-536.7156171868047,0.09523534811277477,2.0,0.6360703203088989
2.6,-536.7286293832707,0.022369410348623258,-536.7191335507097,0.09951381721644754,2.0,0.2583947675450099
2.8,-536.7244881607297,0.026968735261647694,-536.7178164407305,0.018201294823250214,2.0,0.1815467498230396
3.0,-536.7248308924993,0.030968387078166227,-536.717228200635,0.016443090525426165,2.0,0.20687978483003813
3.2,-536.7277760532403,0.034088831755541366,-536.7166418880448,0.015354979912004636,2.0,0.3029760696606175
3.4,-536.7318205783649,0.036277779711383726,-536.7161249808023,0.014674110996885507,2.0,0.4270989676382056
3.6,-536.7359950494013,0.037648628251565876,-536.7156952858569,0.014253239712387823,2.0,0.5523847065077526
3.8000000000000003,-536.7397923330856,0.03838493787662983,-536.7153562000337,0.014001503818642848,2.0,0.6649410548318601
4.0,-536.7430201407794,0.03867448618279529,-536.7150873303043,0.013858277510819254,2.0,0.7600904947748981
