r,e_s,t1_s,e_t,t1_t,s2,de,label_t,label_free,free_minus_pinned_scf_ev
1.4,-536.7315714277987,0.006618841323700088,-536.5546787902402,0.026683401381484177,2.0,4.813493884675008,"3A""","3A""",
1.5999999999999999,-536.795924322152,0.007136401791163167,-536.6485808123729,0.030313688918907296,2.0,4.009421155439906,"3A""","3A""",
1.7999999999999998,-536.7972408028534,0.008280609834851498,-536.6982234425728,0.024282959889759665,2.0,2.6943996356515734,"3A""","3A""",
2.0,-536.7780435774638,0.010320658670805923,-536.7171183150114,0.029021518783665115,2.0,1.65786084873123,"3A""","3A""",
2.2,-536.7561709381291,0.013487107768755323,-536.7200070844596,0.04109706141406949,2.0,0.9840685903458869,"3A""","3A""",
2.4,-536.7389923399318,0.01766944972139521,-536.715617186801,0.09523534821940727,2.0,0.6360703204017062,"3A""","3A""",
2.6,-536.7286293832706,0.022369410348609658,-536.71913355071,0.09951381724076054,2.0,0.2583947675326356,"3A""","3A""",
2.8,-536.724488160747,0.026968735296111337,-536.7178164407121,0.018201294799891635,2.0,0.1815467507944226,"3A""","3A""",
3.0,-536.7248308925448,0.030968387092848236,-536.717228200635,0.016443090525461442,2.0,0.2068797860674687,"3A""","3A""",
3.2,-536.7277760533634,0.0340888318302589,-536.7166418880452,0.015354979912068056,2.0,0.3029760730016801,"3A""","3A""",
3.4,-536.731820578365,0.036277779711365574,-536.7161249808033,0.014674110996735336,2.0,0.427098967613457,"3A""","3A""",
3.6,-536.7359950494015,0.03764862825151486,-536.7156952858567,0.014253239712137421,2.0,0.552384706520127,"3A""","3A""",
3.8000000000000003,-536.7397923331062,0.03838493790798536,-536.7153562000337,0.014001503819066664,2.0,0.6649410553917974,"3A""","3A""",
4.0,-536.7430201407797,0.038674486183305455,-536.715087328093,0.013860101051610904,2.0,0.7600905549542408,"3A""","3A""",
