r,ncas,nelecas,conv,e_cas_0,e_cas_1,e_cas_2,e_cas_3,e_nev_0,e_nev_1,e_nev_2,e_nev_3,s2_0,s2_1,s2_2,s2_3,w_0,w_1,w_2,w_3,dip_0,dip_1,wall,cpu,note
1.7,7,12,True,-536.102106697289,-535.9742354486357,-535.9083471043543,-535.7770253864392,-536.6052113531084,-536.4722329465601,-536.401834440658,-536.2871764295007,1.9999999999999996,2.0000000000000004,1.9999999999999982,1.9999999999999993,0.8841493512491575,0.7787095168217414,0.5968703826913322,0.5725830296108229,1.8591993001840887,1.7413279780596378,35.09718418121338,1114.752918051,
1.8,6,10,True,-536.1286403389912,-536.0292016090656,-535.9715375650848,-535.8389049535824,-536.6317793861955,-536.5271339617375,-536.46160192724,-536.3523614856346,2.0,2.0000000000000004,2.0000000000000004,2.0,0.8178304026674222,0.7070301532104101,0.5113605293435499,0.4611802767956477,2.166340469002186,1.9941232177709347,23.439132690429688,744.540140995,
1.9,6,10,True,-536.1475075274284,-536.070853908873,-536.0232715111227,-535.8859915823101,-536.642220355219,-536.5597365912059,-536.5039315942877,-536.390368091851,1.9999999999999993,2.0000000000000004,1.999999999999998,2.000000000000001,0.7360910098919311,0.624505290624675,0.6319105017530704,0.653821908241081,2.539420830149799,2.303963886299121,20.253427028656006,641.8011006390002,
2.0,6,10,True,-536.160383186415,-536.1018752733607,-536.0637963493546,-535.9214781017224,-536.6477969370253,-536.5834236332519,-536.53822880884,-536.4175198457303,1.9999999999999996,2.000000000000001,1.9999999999999993,1.9999999999999996,0.6425982090651762,0.5374351186244882,0.7320400273591694,0.7601133400037278,2.9378063740881277,2.6367951992971252,17.445873975753784,554.8830094510004,
2.1,6,10,True,-536.1689916001149,-536.1247409950381,-536.0947631690268,-535.9480735933237,-536.6501450869386,-536.6005177318556,-536.564927193244,-536.4371427347801,2.0,1.999999999999999,1.9999999999999991,1.9999999999999998,0.5456573585537456,0.4514270165700192,0.8108039541305049,0.8353080495682823,3.304683051134924,2.9584160124097414,17.257673740386963,548.8244173789999,
2.2,6,10,True,-536.1746975325228,-536.1414601895458,-536.1180728054037,-535.967926245245,-536.6506039853713,-536.6127944058851,-536.5851873283733,-536.4514763223788,2.0000000000000004,2.0,2.0,1.9999999999999996,0.4548937935992297,0.3726902201510202,0.8648524657253822,0.889008477253481,3.6010469473004103,3.24708944484895,18.887420654296875,599.9121300749998,
2.3,6,10,True,-536.1784789247827,-536.1536049708193,-536.1354462704473,-535.9826938233429,-536.6500936904694,-536.6215651596821,-536.6003348958634,-536.4620091801818,1.9999999999999993,2.000000000000001,1.9999999999999998,1.9999999999999996,0.3852007392125906,0.35285148056721727,0.8817085205456037,0.9258323735238025,3.8162591812571147,3.4871228507471175,19.26422119140625,611.7939895009995,
2.4000000000000004,6,10,True,-536.1809930846761,-536.1623773279651,-536.1483058145152,-535.9936421991721,-536.6491993777281,-536.6277921230391,-536.6115726811447,-536.469789819217,2.0,2.000000000000001,1.999999999999999,2.000000000000001,0.4099261546589914,0.3908120996918075,0.47570956789417923,0.9503195787481862,3.610866681097941,3.2302170013905296,17.996288537979126,570.9246563790002,
2.5,6,10,True,-536.182666846,-536.168682378652,-536.1577755714299,-536.0017330754011,-536.6482632972032,-536.6322110950421,-536.6198180729306,-536.475553999324,2.0000000000000013,1.9999999999999996,1.9999999999999996,1.9999999999999991,0.42383113960254576,0.4212895192807638,0.9538125644871785,0.9663034596282462,3.273598753763933,2.8907979594503437,17.11716628074646,544.4788978140004,
2.6,6,10,True,-536.1837745616209,-536.1731937673336,-536.1647224128303,-536.0076940052679,-536.6473440392276,-536.6352657002835,-536.6258126319908,-536.4797635162214,2.000000000000001,2.0000000000000004,2.0000000000000004,2.0000000000000004,0.43038651176593884,0.4458817492108537,0.970723047966447,0.9767730186911747,3.4116811300662437,3.1159234893712227,18.757655382156372,596.7999204400003,
2.7,6,10,True,-536.1844943291771,-536.1764081367531,-536.1698035731723,-536.0120731573252,-536.6465493836171,-536.6373864077935,-536.6301743457844,-536.4828751515763,2.0000000000000004,2.0000000000000004,2.0,1.9999999999999993,0.4323795792232637,0.4660593837584988,0.9739522718782511,0.9836976949155319,3.6062491796570737,3.3804078720189077,19.524479627609253,619.6978911780006,
2.8000000000000003,6,10,True,-536.1849447112025,-536.1786887577654,-536.173511700116,-536.0152811301914,-536.6458714391587,-536.6388511122236,-536.6333307064219,-536.4851387942834,2.0000000000000004,1.9999999999999996,1.9999999999999991,1.9999999999999993,0.431614874618875,0.482938384994849,0.9733838503941906,0.9883833346644701,3.843202671299884,3.667729825099332,16.68916082382202,531.2748046419993,
2.9000000000000004,6,10,True,-536.1852067449663,-536.1802996019078,-536.1762130500713,-536.0176249014287,-536.6452925580193,-536.639833623988,-536.6356071144704,-536.4867763591192,2.0,1.9999999999999998,1.9999999999999998,2.000000000000001,0.42925528074974395,0.4971490107945151,0.9706821343486235,0.9916038774850051,4.112419645528555,3.9701765100515343,17.96843647956848,571.2959078989998,
3.0,6,10,True,-536.1853376642182,-536.1814319088821,-536.1781786930858,-536.0193331012276,-536.6448202336909,-536.6404983620404,-536.6372383231234,-536.4879479099301,2.0,2.0,2.0000000000000004,2.000000000000001,0.4259896964071311,0.5090461160212771,0.9665590784537509,0.99384703583106,4.402756877523442,4.280307409791049,19.02106809616089,604.1643596909998,
3.1000000000000005,6,10,True,-536.1853787916608,-536.1822239019651,-536.1796086180805,-536.0205758199852,-536.6444075405642,-536.6409284353225,-536.638403045391,-536.4887869128219,2.0000000000000004,2.000000000000001,1.9999999999999993,1.9999999999999998,0.42384881462217516,0.5188805532243208,0.961451187168169,0.9954344728413289,4.703418877536852,4.590972525861417,17.90304684638977,567.9719944850003,
