threads,test,value,unit
1,dgemm_4000,126.73,GFLOP/s
1,dgemm_8000,127.86,GFLOP/s
1,stream_triad,32.56,GB/s
1,copy_threaded,58.06,GB/s
1,fft3d_256,1.14,GFLOP/s
2,dgemm_4000,238.49,GFLOP/s
2,dgemm_8000,239.6,GFLOP/s
2,stream_triad,51.28,GB/s
2,copy_threaded,68.07,GB/s
2,fft3d_256,2.26,GFLOP/s
4,dgemm_4000,427.62,GFLOP/s
4,dgemm_8000,430.53,GFLOP/s
4,stream_triad,69.55,GB/s
4,copy_threaded,72.58,GB/s
4,fft3d_256,4.26,GFLOP/s
8,dgemm_4000,805.27,GFLOP/s
8,dgemm_8000,807.23,GFLOP/s
8,stream_triad,104.88,GB/s
8,copy_threaded,104.68,GB/s
8,fft3d_256,7.84,GFLOP/s
12,dgemm_4000,1158.47,GFLOP/s
12,dgemm_8000,1192.82,GFLOP/s
12,stream_triad,111.9,GB/s
12,copy_threaded,113.07,GB/s
12,fft3d_256,9.41,GFLOP/s
16,dgemm_4000,1479.59,GFLOP/s
16,dgemm_8000,1573.07,GFLOP/s
16,stream_triad,115.35,GB/s
16,copy_threaded,143.61,GB/s
16,fft3d_256,13.56,GFLOP/s
16,dgemm_8000,1557.27,GFLOP/s
16,stream_triad,115.53,GB/s
16,copy_threaded,143.82,GB/s
16,fft3d_128,16.16,GFLOP/s
