basis,nbf,threads,incore,frozen_core,t_scf_s,t_ccsd_s,t_triples_s,t_total_s,ccsd_iters,e_hf,e_corr_ccsd,e_triples,e_ccsd_t,peak_rss_gb
cc-pVDZ,24,0,False,True,0.162,0.462,0.069,0.693,9,-76.02677205339404,-0.21123267105422888,-0.003036491539223134,-76.2410412159875,0.11
cc-pVDZ,24,16,False,True,0.033,0.105,0.006,0.145,9,-76.02677205339413,-0.21123267105422833,-0.0030364915392232577,-76.24104121598758,0.11
cc-pVTZ,58,16,False,True,0.13,1.516,0.105,1.75,11,-76.05712742027437,-0.2674187431002093,-0.007648035769538772,-76.33219419914411,0.18
cc-pVQZ,115,16,True,True,0.669,1.831,0.361,2.861,10,-76.06479168799774,-0.2860077586611648,-0.008995054096981895,-76.3597945007559,1.0
cc-pV5Z,201,16,True,True,2.28,9.475,2.69,14.446,11,-76.06704696716156,-0.2924705284238326,-0.00952399259082678,-76.36904148817622,7.86
aug-cc-pVQZ,172,16,True,True,1.794,5.918,1.508,9.22,11,-76.06595750827026,-0.2882536049103017,-0.009373884844035561,-76.36358499802459,4.29
cc-pV5Z,201,16,True,True,2.329,9.684,2.778,14.79,11,-76.06704696716193,-0.29247052842383303,-0.00952399259082536,-76.36904148817659,7.86
aug-cc-pVQZ,172,16,True,True,1.812,5.801,1.524,9.137,11,-76.0659575082702,-0.2882536049103026,-0.00937388484403597,-76.36358499802455,4.29
aug-cc-pV5Z,287,16,True,True,4.451,35.351,13.613,53.416,10,-76.0672767726996,-0.29336701340766225,-0.009653699445005966,-76.37029748555227,31.91
aug-cc-pVQZ,172,16,False,True,1.987,8.675,2.218,12.88,11,-76.0659575082704,-0.2882536049103036,-0.00937388484403635,-76.36358499802475,3.63
aug-cc-pV5Z,287,16,False,True,15.803,48.834,19.445,84.081,10,-76.06727677269953,-0.29336701340767135,-0.009653699445026268,-76.37029748555223,3.68
