basis=aug-cc-pVQZ   E_H = -0.4999483215 Ha
32 points, r = 0.75-4.0 A, morse spacing
    0.75- 0.99 A:   8 pts, mean step 0.0301 A
    0.99- 1.38 A:   8 pts, mean step 0.0493 A
    1.38- 2.55 A:   8 pts, mean step 0.1554 A
    2.55- 4.00 A:   8 pts, mean step 0.1875 A

    r/A    E_nevpt2/Ha    E_casscf/Ha    E_uccsdt/Ha    t/s
  0.750   -75.58735828   -75.36974949   -75.61948004   20.2
  0.776   -75.60864665   -75.39090835   -75.64052084   21.6
  0.803   -75.62605720   -75.40820674   -75.65769656   20.4
  0.832   -75.63987485   -75.42193661   -75.67130004   21.1
  0.861   -75.65037259   -75.43237127   -75.68160322   21.4
  0.893   -75.65785181   -75.43976697   -75.68885712   20.9
  0.926   -75.66249880   -75.44436424   -75.69329214   22.8
  0.960   -75.66449975   -75.44638928   -75.69511950   19.8
  0.997   -75.66404952   -75.44605548   -75.69453355   17.5
  1.036   -75.66131888   -75.44356536   -75.69171477   25.7
  1.078   -75.65646585   -75.43911295   -75.68683273   22.5
  1.123   -75.64965115   -75.43288695   -75.68004830   18.1
  1.171   -75.64100617   -75.42507454   -75.67151417   18.2
  1.223   -75.63068593   -75.41586631   -75.66137029   23.1
  1.280   -75.61883708   -75.40546241   -75.64972160   19.2
  1.343   -75.60560964   -75.39408105   -75.63662994   24.2
  1.412   -75.59119218   -75.38197082   -75.62257932   31.1
  1.490   -75.57584298   -75.36942909   -75.60776660   22.5
  1.580   -75.55990841   -75.35682890   -75.59213341   29.6
  1.685   -75.54391651   -75.34465354   -75.57619926   25.0
  1.810   -75.52868021   -75.33352525   -75.56068998   26.9
  1.968   -75.51520466   -75.32417589   -75.54671061   32.2
  2.179   -75.50470207   -75.31726160   -75.53501680   34.9
  2.500   -75.49794370   -75.31303389   -75.52667282   36.7
  2.688   -75.49631811   -75.31207253   -75.52533702   43.2
  2.875   -75.49534895   -75.31013479   -75.52497217   43.5
  3.062   -75.49495552   -75.31055196   -75.52475546   27.7
  3.250   -75.49467476   -75.31077408   -75.52489252   35.7
  3.438   -75.49459144   -75.31109973   -75.52494982   26.4
  3.625   -75.49451726   -75.31105937   -75.52496840   29.4
  3.812   -75.49447312   -75.31103839   -75.52496993   25.2
  4.000   -75.49444176   -75.31102739   -75.52496455   25.7

wrote oh_curve.csv
NEVPT2: re ~ 0.9604 A, De ~ 4.628 eV (experiment: re 0.9697 A, De 4.62 eV)
