basis    aug-cc-pVTZ
r grid   22 points, 0.7-3.4 A (morse)
          0.70- 0.93 A:   6 pts, step 0.0437 A
          0.93- 1.31 A:   5 pts, step 0.0710 A
          1.31- 2.39 A:   5 pts, step 0.1742 A
          2.39- 3.40 A:   6 pts, step 0.1800 A
theta    13 points, 55.0-175.0 deg
points   3289 computed / 6292 full grid (52%, r1>=r2 symmetry)
resume   194 already in pes_grid.csv, 3095 remaining
estimate 7.7 core-hours => 0.26 h on 30 procs at 9 s/point

  25/3095  ok=24 bad=1  3773 pts/h  eta 48.8 min
  50/3095  ok=39 bad=11  3982 pts/h  eta 45.9 min
  75/3095  ok=63 bad=12  3679 pts/h  eta 49.3 min
  100/3095  ok=88 bad=12  3956 pts/h  eta 45.4 min
  125/3095  ok=113 bad=12  4291 pts/h  eta 41.5 min
  150/3095  ok=138 bad=12  4651 pts/h  eta 38.0 min
  175/3095  ok=163 bad=12  4898 pts/h  eta 35.8 min
  200/3095  ok=188 bad=12  5169 pts/h  eta 33.6 min
  225/3095  ok=213 bad=12  5363 pts/h  eta 32.1 min
  250/3095  ok=238 bad=12  5420 pts/h  eta 31.5 min
  275/3095  ok=263 bad=12  5331 pts/h  eta 31.7 min
  300/3095  ok=275 bad=25  5248 pts/h  eta 32.0 min
  325/3095  ok=300 bad=25  4947 pts/h  eta 33.6 min
  350/3095  ok=325 bad=25  4882 pts/h  eta 33.7 min
  375/3095  ok=350 bad=25  4949 pts/h  eta 33.0 min
  400/3095  ok=375 bad=25  5083 pts/h  eta 31.8 min
  425/3095  ok=400 bad=25  5234 pts/h  eta 30.6 min
  450/3095  ok=425 bad=25  5327 pts/h  eta 29.8 min
  475/3095  ok=450 bad=25  5374 pts/h  eta 29.3 min
  500/3095  ok=475 bad=25  5442 pts/h  eta 28.6 min
  525/3095  ok=498 bad=27  5351 pts/h  eta 28.8 min
  550/3095  ok=515 bad=35  5273 pts/h  eta 29.0 min
  575/3095  ok=538 bad=37  5108 pts/h  eta 29.6 min
  600/3095  ok=563 bad=37  5033 pts/h  eta 29.7 min
  625/3095  ok=588 bad=37  5072 pts/h  eta 29.2 min
  650/3095  ok=613 bad=37  5174 pts/h  eta 28.4 min
  675/3095  ok=638 bad=37  5272 pts/h  eta 27.5 min
  700/3095  ok=663 bad=37  5339 pts/h  eta 26.9 min
  725/3095  ok=688 bad=37  5385 pts/h  eta 26.4 min
  750/3095  ok=713 bad=37  5435 pts/h  eta 25.9 min
  775/3095  ok=737 bad=38  5396 pts/h  eta 25.8 min
  800/3095  ok=756 bad=44  5346 pts/h  eta 25.8 min
  825/3095  ok=776 bad=49  5231 pts/h  eta 26.0 min
  850/3095  ok=801 bad=49  5158 pts/h  eta 26.1 min
  875/3095  ok=826 bad=49  5199 pts/h  eta 25.6 min
  900/3095  ok=851 bad=49  5268 pts/h  eta 25.0 min
  925/3095  ok=876 bad=49  5332 pts/h  eta 24.4 min
  950/3095  ok=901 bad=49  5383 pts/h  eta 23.9 min
  975/3095  ok=926 bad=49  5410 pts/h  eta 23.5 min
  1000/3095  ok=950 bad=50  5433 pts/h  eta 23.1 min
  1025/3095  ok=974 bad=51  5432 pts/h  eta 22.9 min
