r_A,e_casscf_Ha,e_nevpt2_Ha,e_uccsd_t_Ha,ncas,nelecas,e_H_Ha
0.75,-75.36974948944763,-75.58735828116652,-75.61948004324411,5,7,-0.4999483214691211
0.77606,-75.39090834913452,-75.60864664684756,-75.64052084184259,5,7,-0.4999483214691211
0.80325,-75.4082067424576,-75.62605720357281,-75.65769656262951,5,7,-0.4999483214691211
0.83168,-75.42193660566602,-75.63987484669804,-75.67130003659092,5,7,-0.4999483214691211
0.86146,-75.43237126634854,-75.65037259397693,-75.6816032239755,5,7,-0.4999483214691211
0.89273,-75.43976696717499,-75.65785180531424,-75.68885711673006,5,7,-0.4999483214691211
0.92565,-75.44436424024578,-75.66249880193632,-75.69329213895742,5,7,-0.4999483214691211
0.96041,-75.446389278838,-75.66449974839092,-75.69511950070053,5,7,-0.4999483214691211
0.9972,-75.44605548269983,-75.66404952398925,-75.69453354828254,5,7,-0.4999483214691211
1.03631,-75.44356535951164,-75.66131887884002,-75.69171476759774,5,7,-0.4999483214691211
1.07802,-75.43911295396245,-75.65646584527896,-75.6868327286468,5,7,-0.4999483214691211
1.12271,-75.43288694583445,-75.64965114538712,-75.68004829896955,5,7,-0.4999483214691211
1.17086,-75.42507453808275,-75.64100616506079,-75.6715141679099,5,7,-0.4999483214691211
1.22302,-75.41586630556138,-75.63068593308783,-75.66137028676351,5,7,-0.4999483214691211
1.27993,-75.40546240668816,-75.61883708471204,-75.64972160378377,5,7,-0.4999483214691211
1.34255,-75.39408105094796,-75.60560963609082,-75.63662994495556,5,7,-0.4999483214691211
1.41215,-75.38197081681025,-75.59119218256984,-75.62257931632791,5,7,-0.4999483214691211
1.49048,-75.36942908952116,-75.57584298285775,-75.60776659908787,5,7,-0.4999483214691211
1.58006,-75.35682889600331,-75.55990841130514,-75.59213341489344,5,7,-0.4999483214691211
1.68466,-75.34465353747994,-75.54391650939132,-75.5761992575136,5,7,-0.4999483214691211
1.81035,-75.33352524995271,-75.52868021357258,-75.56068998100396,5,7,-0.4999483214691211
1.96785,-75.32417588513682,-75.51520466189118,-75.54671060911552,5,7,-0.4999483214691211
2.17892,-75.31726160415046,-75.50470206507886,-75.53501680340739,5,7,-0.4999483214691211
2.5,-75.31303389284218,-75.49794370177464,-75.52667282395166,5,7,-0.4999483214691211
2.6875,-75.3120725278498,-75.49631811372261,-75.52533702469482,5,7,-0.4999483214691211
2.875,-75.31013479082229,-75.4953489487655,-75.52497217458244,5,7,-0.4999483214691211
3.0625,-75.31055196302546,-75.49495551525185,-75.52475546294988,5,7,-0.4999483214691211
3.25,-75.3107740845796,-75.49467476044175,-75.52489251609163,5,7,-0.4999483214691211
3.4375,-75.31109973260824,-75.4945914387587,-75.52494981619422,5,7,-0.4999483214691211
3.625,-75.31105937402637,-75.49451726240608,-75.52496839515824,5,7,-0.4999483214691211
3.8125,-75.31103839174347,-75.49447311606366,-75.52496992985145,5,7,-0.4999483214691211
4.0,-75.31102738533077,-75.49444175625781,-75.52496455051512,5,7,-0.4999483214691211
