r_A,e_casscf_eV,e_nevpt2_eV,e_adc2_eV,mu_casscf_au,mu_adc2_au
0.8,7.14789,7.8902,7.43803,0.36808,0.56918
0.8286,7.08617,7.82545,7.36321,0.36746,0.57034
0.8571,7.02359,7.75814,7.28499,0.36537,0.57089
0.8857,6.99448,7.72762,7.203,0.34375,0.57071
0.9143,6.92313,7.64423,7.11676,0.34185,0.56964
0.9429,6.84916,7.55439,7.02566,0.33847,0.56751
0.9714,6.78,7.46619,6.92901,0.32884,0.56411
1.0,6.71349,7.37906,6.82598,0.31234,0.55919
1.0286,6.63638,7.28245,6.71567,0.29281,0.55251
1.0571,6.55038,7.179,6.59714,0.26843,0.54383
1.0857,6.4512,7.06218,6.46951,0.24032,0.53294
1.1143,6.33061,6.92167,6.33202,0.21161,0.51976
1.1429,6.18281,6.75136,6.1842,0.18484,0.5043
1.1714,6.00764,6.55215,6.02594,0.1611,0.48678
1.2,5.80892,6.32889,5.85762,0.14051,0.46753
